TSP_File,Algorithm,Cost,Time_ms,Num_Cities
../dataset/earring200k.tsp,MST-based 2-approx,11818446.78,965440,200000
../dataset/earring200k.tsp,Simulated Annealing,1429165963.60,2104528,200000
